COUNTY,PRCTSEQ,PRECINCT,BALSEQID,JURISID,SECJURISID,CANDGROUP,OFFICENAME,ELECTDATE,ELECTTYPE,COL1HDG,RNAME1,PARTY1,PVTALLY1,COL2HDG,RNAME2,PARTY2,PVTALLY2,COL3HDG,RNAME3,PARTY3,PVTALLY3,COL4HDG,RNAME4,PARTY4,PVTALLY4,COL5HDG,RNAME5,PARTY5,PVTALLY5,COL6HDG,RNAME6,PARTY6,PVTALLY6,COL7HDG,RNAME7,PARTY7,PVTALLY7,COL8HDG,RNAME8,PARTY8,PVTALLY8,COL9HDG,RNAME9,PARTY9,PVTALLY9,COL10HDG,RNAME10,PARTY10,PVTALLY10
Johnson,0003,2 Forge/Shouns,0015,03,0,0,Tennessee Senate District 3,2022-11-08,State General,1,Rusty Crowe,Republican,273,2,Kate Craig,Democratic,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0003,2 Forge/Shouns,0017,03,0,0,Tennessee House of Representatives District 3,2022-11-08,State General,1,Scotty Campbell,Republican,284,2,Write-In - Arvil Love,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0004,3A Trade,0005,0,0,1,Governor,2022-11-08,State General,1,Bill Lee,Republican,300,2,Jason Brantley Martin,Democratic,55,3,Constance M. Every,Independent,1,4,John Gentry,Independent,4,5,Basil Marceaux,Independent,1,6,Charles Van Morgan,Independent,0,7,Alfred O'Neil,Independent,0,8,Deborah Rouse,Independent,0,9,Michael E. Scantland,Independent,1,10,Rick Tyler,Independent,0
Johnson,0004,3A Trade,0005,0,0,2,Governor,2022-11-08,State General,11,Write-In - Curtis Carney,,0,12,Write-In - Stephen C Maxwell,,0,13,Write-In - Kameron Parker Scott,,0,14,Write-In - Lemichael D. Wilson,,0,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0004,3A Trade,0006,0,1,0,Constitutional Amendment # 1,2022-11-08,State General,1,Yes,,246,2,No,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0004,3A Trade,0006,0,2,0,Constitutional Amendment # 2,2022-11-08,State General,1,Yes,,210,2,No,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0004,3A Trade,0006,0,3,0,Constitutional Amendment # 3,2022-11-08,State General,1,Yes,,235,2,No,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0004,3A Trade,0006,0,4,0,Constitutional Amendment # 4,2022-11-08,State General,1,Yes,,185,2,No,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0004,3A Trade,0011,1,0,0,United States House of Representatives District 1,2022-11-08,State General,1,Diana Lynn Harshbarger,Republican,292,2,Cameron Parsons,Democratic,54,3,Richard G. Baker,Independent,0,4,Matt Makrom,Independent,1,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0004,3A Trade,0015,03,0,0,Tennessee Senate District 3,2022-11-08,State General,1,Rusty Crowe,Republican,300,2,Kate Craig,Democratic,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
